densidad,m,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0.1,968,787.862,52.1292,738.5,760.55,771,791.925,997.4
0.2,1979,1340.43,116.196,1228,1255.12,1278.25,1405.65,1595.2
0.3,2956,1661.12,99.0225,1599.9,1609.98,1621.6,1659.3,2035.2
0.4,4060,2395.17,233.968,2232,2283.97,2309.55,2402.05,3468.3
0.5,4928,2662.92,258.188,2388.7,2485.58,2585.25,2797.55,3682.3
0.6,5959,3148.72,273.473,2929.4,2994.33,3090.55,3188.17,4558.7
0.7,6939,3395.68,373.677,3114.7,3194.17,3231.85,3438.45,4844.7
0.8,7926,3778.65,375.19,3444,3516.95,3610.1,3959.93,5410.6
0.9,8914,4022.08,391.772,3628,3700.08,3873.9,4261.62,5726
1,9900,4682.9,489.934,4245.4,4331.72,4540.35,4882.98,6649
