n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,5.92187,0.758494,4.8,5.4,5.7,6.25,7.6
30,125.669,17.2545,114.2,116.3,117.4,130.25,174.4
50,511.763,37.1672,486.7,493.7,497.4,504.15,627
70,1401.86,160.624,1300.3,1320.77,1339.85,1373.62,2077
90,3604.86,300.272,3227.7,3296.2,3592,3824.23,4150.5
110,6222.57,373.541,5786.4,5828.9,6245.15,6501.27,7185.9
130,11214.7,762.136,10454,10645.9,11071.1,11300.3,13933.8
150,16811.4,1780.42,15896,16188.6,16392,16533,24407.3
170,24827.7,2780.27,23106.3,23530.7,24112.9,24638,37725
190,31418,903.216,30461.3,30895.6,31206.1,31557.4,34899.4
