n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10,3.21094,0.794848,2.3,2.7,3.1,3.425,6.1
20,14.0359,2.57678,8.7,12.075,14.5,15.1,20.7
30,37.9625,4.43602,31.4,36,36.7,37.65,54.7
40,73.3828,6.06351,63.5,70.925,72.95,74.725,107.1
50,131.495,17.9517,114.9,125.15,129.05,131.425,237.8
60,221.488,23.6218,199.4,212.1,215.1,218.25,328.9
70,363.384,52.1564,340.2,348.075,351.15,355.35,656.6
80,553.653,74.7474,498.1,515.45,524.85,541.05,773.2
90,705.223,62.8487,669.1,679.35,684.6,699.05,1022.8
100,965.928,90.0286,924.1,934.75,940.55,947.6,1362.8
110,1296.05,219.249,1132.7,1147.45,1190.6,1361.23,1948.7
120,1696.85,408.669,1460.6,1496.23,1528.75,1842.17,4317.6
130,1993.08,201.443,1810.3,1844.78,1893.15,2158.93,2728
140,2459.51,250.414,2213.2,2238.27,2345,2682.17,3326.5
150,2932.95,300.54,2612.4,2688.23,2853.95,3126.1,4249.9
160,3709.48,530.934,3206.8,3318.9,3648.2,3906.32,6381.1
170,4245.71,342.488,3855,3933.43,4101.75,4505.05,4971.8
180,4815.07,287.328,4468.2,4565,4777.1,5039.48,5599.2
190,5547.21,491.037,5032.8,5166.95,5333.35,5814.1,7447.1
200,6319.25,423.458,5800.5,5931.22,6187.65,6681.78,7237.3
210,7150.6,424.532,6648.2,6857.43,7036.35,7331.8,8779.8
220,8382.09,664.432,7787,7938.07,8342.75,8624.07,12562.5
230,9305.72,524.841,8598.7,8833.4,9287.35,9570.78,10995.9
240,10335,520.43,9719.8,9884.1,10277,10606,12570.4
250,11796,571.047,10955.7,11264.2,11783.2,12131.1,12874.9
260,12991.3,778.961,12165.8,12442.8,12862.5,13256.5,17056.5
270,14646.1,1233.57,13509.7,13818,14266.6,14944.3,18920.1
280,16350.2,909.85,15211.3,15951.1,16160.8,16480.8,20500.7
290,17671.9,888.889,16627.9,17178.4,17519.5,17961.3,22755.3
300,18856.2,763.107,17865.8,18361.1,18686.2,19136.4,23043.8
