densidad,m,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
0.1,968,815.094,31.5932,785,797.675,803.7,821.375,975.5
0.2,1979,918.019,66.8239,869.7,882.925,893.1,905.825,1106.1
0.3,2956,919.456,78.9262,878.7,888.775,898.65,913.025,1361.2
0.4,4060,1059.88,154.064,957.1,972.95,990.15,1047.65,1496.1
0.5,4928,982.28,95.9747,923.3,931.375,948.8,971.45,1431.6
0.6,5959,955.43,102.694,902.1,916,924.6,938.375,1395.1
0.7,6939,991.036,91.754,932,943.2,952.15,1002.23,1412.1
0.8,7926,937.203,71.7719,888.2,900.1,906.25,926.975,1156.3
0.9,8914,938.083,70.4597,888.7,903.125,908.35,923.6,1162.8
1,9900,944.322,83.1825,887.9,900.3,910.7,936.225,1284.3
